Street,Date_Issued
50FT RIVINGTON ST,2
50FT S OF S/E,1
50FT S/B OF 106 AVE,1
50FT S/E C/O PUGSLEY,1
50FT S/O 20AVE,1
50FT S/O 78,1
50FT S/O BORDEN,1
50FT S/O E 36TH ST,1
50FT S/O W15TH ST.,1
50FT S/WC/O MESEROLE,1
50FT SOUTH BROADWAY,2
50FT SOUTH OF S/W,1
50FT W OF 25 RD,1
50FT W OF 25 RD ON L,1
50FT W ON ROBERT WAG,1
50FT W/B OF MCDONALD,1
50FT W/O CLINTON ST,1
50FT W/O LOUISANA,2
50FT WEST 136,1
50FT WEST I/O PARK A,1
50FT WEST OF 67 ST,1
50FT WEST OF 8 AVE,1
50FT WEST OF C/O,1
50FT WEST OF SW C/O,1
50FT WEST OF THE S/N,1
50FTS/W C/O BROOK AV,1
50RD,1
50RTH STREET,1
50ST,21
50TH,4
50TH AVE,84
50TH AVENUE,10
50TH ST,211
50TH ST.,1
50TH STREET,50
50TH STRET,1
50th Ave,2792
50th St,6457
51,2
51  AVE,1
51  ST,1
51 AT,1
51 AV,4
51 AVE,337
51 AVENUE,6
51 CT,1
51 DRIVE,1
51 E C/W 18 DELANCEY,1
51 IO AIIJDXINY,0
51 PL,1
51 RD,42
51 ROAD,1
51 ST,511
51 ST AVE,7
51 ST ST,6
51 ST STREET,2
51 STREET,132
51 TH,1
51 TH AVE,2
51-49,1
510 58 STREET,1
510 9TH AVE,1
510 MAIN ST,1
510 ST,1
5112 CIIJ 7S120HICUI,2
512 AVE,1
515 FT 57TH ST,1
515 JACKSON AVE,1
515 SUTTER AVE,1
519 AVE,2
51AVE,11
51J4 W1 15 5 5 11,1
51RD ST,2
51ST,6
51ST  ST,1
51ST AV,1
51ST AVE,23
51ST ST,90
51ST STREET,16
51TH AVE,3
51TH AVENUE,2
51TH ST,2
51TH STREET,5
51st Ave,3851
51st Dr,12
51st Rd,113
51st St,5185
52  AVE,3
52  ST,2
52 AV,2
52 AVE,195
52 AVENUE,8
52 COURT,1
52 DR,12
52 DRIVE,6
52 ND ST,4
52 OLD PL,1
52 RD,12
52 ROAD,1
52 ST,426
52 ST .,1
52 ST 1AVE,1
52 STREET,67
520,1
523 SUTTER AVE,1
525,1
525 7 AVE,1
526 W,2
528 9 AVENUE,1
52AVE,3
52ND,4
52ND AVE,4
52ND DR,2
52ND RD,1
52ND SRT,1
52ND ST,130
52ND STREET,15
52RD,2
52RD  ST,1
52RD ST,6
52ST,9
52TH AVE,1
52nd Ave,838
52nd Ct,7
52nd Dr,44
52nd Rd,38
52nd St,4249
53,5
53  AVE,3
53 AV,1
53 AVE,205
53 AVENUE,8
53 D,1
53 DR,15
53 DRIVE,4
53 RD,17
53 RD RD,1
53 RD ST,9
53 RD STREET,3
53 ROAD,3
53 ST,440
53 ST S/O,1
53 STR,1
53 STREET,98
530 MAIN ST 10044,1
533 VVIJJM,1
535 W353T,1
538WP5T587NMN,1
53AVE,6
53ND ST,1
53RD,5
53RD AVE,8
53RD AVENUE,1
53RD S,1
53RD ST,189
53RD STG,1
53RD STREET,18
53ST,5
53TH ST,1
53TH STR,1
53THST,1
53rd Ave,1021
53rd Dr,149
53rd Pl,159
53rd Rd,206
53rd St,4427
54,3
54 62 SW 2,2
54 7IMMS PI,1
54 AV,1
54 AVE,118
54 AVE 111 ST,3
54 AVENUE,3
54 RD,2
54 S,1
54 ST,397
54 ST 21 AVE,1
54 ST+,1
54 STREET,40
54 TH ST,2
54 W 18TH ST,11
5400 AVE U,2
5400 AVENUE U,1
541 TROY AV,1
543 8TH AVE,1
545 8TH AVE,1
549 1711 VOM 1 1,1
54AVE,11
54RD ST,10
54ST,4
54TH,3
54TH AVE,18
54TH AVENUE,1
54TH PL,1
54TH RD,2
54TH ST,141
54TH ST.,1
54TH STR,1
54TH STREET,28
54th Ave,1367
54th Dr,29
54th Pl,106
54th Rd,178
54th St,4545
55,6
55  ST,1
55  STREET,1
55 44,1
55 AE 123 ST,1
55 ARCHER AVE,2
55 AV,2
55 AVE,118
55 AVE 97 ST TP 96 S,1
55 AVE 99TH TO 98 TH,1
55 AVENUE,8
55 CT,1
55 DR,11
55 DRIVE,5
55 FT EAST I/O MARKE,1
55 HANSON PL,0
55 NNUSOW WV,1
55 PLACE,1
55 R 52 ST,1
55 RD,9
55 RD ST,1
55 ROAD,3
55 SST,1
55 ST,410
55 ST.,1
55 STR,1
55 STREET,89
55 WEST,1
55-57 AVE,1
550 CAULDWELL AVE,1
5525 CRESCENT ST,1
554 C7R,1
555 C3 R52,1
556 ST,1
557 ST,1
5578 ST 5FT,1
559 STADW AVC,1
55AVE,9
55FT S/W C/O 38 AVE,1
55FT WOP N/W C/O 173,2
55H TI 122,1
55RD ST,7
55ST,8
55TH,2
55TH  ST,2
55TH AVE,26
55TH AVENUE,2
55TH DRIVE,1
55TH RD,1
55TH ROAD,1
55TH ST,129
55TH STREET,23
55th Ave,3793
55th Dr,365
55th Rd,126
55th St,3379
56,2
56  A,1
56  ST,1
56 AV,3
56 AVE,369
56 AVE 20FT,1
56 AVENUE,35
56 DR,35
56 DRIVE,9
56 LENOX,1
56 PL,10
56 PLACE,4
56 RD,27
56 RD ST,4
56 ROAD,7
56 SRT,1
56 ST,451
56 ST/NORTHERN BLVD,1
56 STEET,1
56 STG,1
56 STR,1
56 STREET,135
56 TERR,4
56 TH ST,3
560 W,1
564 KINV5J7ON AIK,1
565 WEST,1
566 ST BET 5TH &,1
56AVE,5
56RD,2
56RD ST,18
56SR,1
56ST,3
56TGH ST,1
56TH,3
56TH  ST,1
56TH AVE,12
56TH DR,4
56TH PL,1
56TH RD,12
56TH ROAD,6
56TH SRT,1
56TH ST,214
56TH STREET,33
56THS T,1
56th Ave,2706
56th Dr,500
56th Pl,45
56th Rd,567
56th St,5296
56th Ter,41
57,6
57  AVE,2
57  ST,1
57 ABE,1
57 AE,6
57 AV,25
57 AVE,639
57 AVE D,2
57 AVENIE,1
57 AVENUE,234
57 AVENUER,1
57 AVENURE,1
57 DR,34
57 DRIVE,7
57 PETERS,1
57 PL,1
57 R,1
57 RD,78
57 RD ST,2
57 RD.,1
57 ROAD,11
57 ST,464
57 ST ON,1
57 ST ST,1
57 ST.,1
57 STREET,91
57 TH,3
57 TH AVE,1
57 TH RD,1
5706-5710 5 AVE,1
574 AVENUE,1
575,1
57AV,1
57AVE,26
57AVENUE,2
57DR,1
57PK,1
57RD,1
57RD ST,15
57ST,12
57ST AVE,1
57ST STREET,1
57TH,6
57TH  ST,1
57TH AVE,58
57TH AVENUE,8
57TH DR,1
57TH RD,2
57TH ROAD,1
57TH ST,168
57TH ST SIDE OF 5701,1
57TH STREET,22
57THS T,1
57THST,2
57th Ave,3273
57th Dr,145
57th Pl,5
57th Rd,836
57th St,4491
58,3
58  N/O 120 ST,1
58 AE,2
58 AV,3
58 AVE,137
58 AVENUE,20
58 DR,17
58 DRIVE,1
58 DT,1
58 EAST,1
58 LAINE,3
58 LANE,7
58 LN,4
58 LOT,1
58 PL,20
58 PLACE,1
58 RD,112
58 RD ST,2
58 ROAD,8
58 ST,620
58 STREET,166
58 TH,1
58 TH AVE,1
58 TH ST,3
58 TREET,1
582,1
582 AVE,1
584 ST,1
585,1
585 DEKALB AVE,1
5851,1
58AVE,3
58D ST,1
58RD,3
58RD ST,15
58S T,1
58ST,8
58TH,3
58TH  ST,3
58TH AVE,15
58TH AVENUE,1
58TH PLACE,1
58TH RD,31
58TH RD COLLEGE POIN,1
58TH RD PKG LOT,12
58TH RD PKG LOT IN,1
58TH RD PKGLOT,2
58TH RS PKG LOT,1
58TH ST,207
58TH STREET,57
58THS T,3
58W 143 ST,1
58th Ave,1276
58th Dr,42
58th Ln,110
58th Pl,155
58th Rd,551
58th St,3393
59  AVE,2
59 AV,4
59 AVE,265
59 AVENUE,29
59 AVEUNE,1
59 CENTRAL PARK,1
59 DR,29
59 DRIVE,4
59 PL,27
59 PLACE,12
59 PLC,1
59 RD,8
59 ROAD,1
59 ST,551
59 ST ST,1
59 ST UNDER PASS,1
59 STREET,61
59 TH ST,1
59 TH STREET,1
59-32,1
595 ST,1
598 ST,1
59AVE,14
59DR,1
59RD ST,7
59RD/68 ST,1
59ST,11
59TH,3
59TH AVE,23
59TH AVENUE,1
59TH DR,3
59TH ROAD,1
59TH ST,102
59TH ST PARKING LOT,1
59TH ST UNDERPASS,3
59TH STR,2
59TH STREET,65
59th Ave,1049
59th Dr,133
59th Pl,169
59th Rd,66
59th St,3021
5AV,3
5AVE,358
5AVENUE,5
5AVWE,1
5DEKALB AVE,1
5FT C/O E 18TH,1
5FT C/O W 171 ST,1
5FT E/O 6AVE,1
5FT E/O FDR SERVICE,1
5FT E/O S/E STILLWEL,2
5FT E/OF W 65,1
5FT EAST 0FT 32 ST,1
5FT N/O FOSTER AVE,2
5FT N/W CORNER OF,1
5FT NORTH N/W/C/O,1
5FT NORTH OF NEWTOWN,1
5FT OF 6TH AVE,1
5FT OF 9411,1
5FT S OF S/E C/O,0
5FT S/O CLAREDEN RD,2
5FT S/O W.33 ST,1
5FT W OF PARSON BLVD,1
5H AVE,1
5ND AVE,4
5RD AVE,1
5S/W C/O MARCY AVE,1
5ST,4
5ST JOHNS PL,1
5T AVE,3
5TGH ST,0
5TH,118
5TH  AVE,14
5TH  AVENUE,1
5TH .AVE,1
5TH 1ST ST,1
5TH 4 ST,1
5TH A,1
5TH AE,4
5TH AV,62
5TH AVE,7293
5TH AVE (S/B) @ 40TH,3116
5TH AVE C/O,1
5TH AVE W/S 25FT,1
5TH AVE.,6
5TH AVENEU,1
5TH AVENUE,665
5TH AVENUE.,0
5TH AVENUIE,1
5TH AVER,2
5TH AVEW,1
5TH AVF,1
5TH AVVE,1
5TH AVW,1
5TH AVWE,2
5TH RD,3
5TH SIDE OF W 40 ST,3
5TH ST,159
5TH ST 60,1
5TH ST.,1
5TH STR,1
5TH STREET,34
5TH STREET 50,2
5TH ST`,1
5TH VE,1
5TH/ EST,2
5THA VE,8
5THAVE,5
5THAVENUE,1
5THG AVE,1
5TJ AVE,1
5W 128 ST,1
5WEST 11TH STREET,1
5th,38
5th Ave,109664
5th Rd,1
5th St,3425
6,12
6  AVE,4
6 13 ST,1
6 ACVE,1
6 AE,1
6 AV,54
6 AV E,1
6 AVE,2600
6 AVE (S/E C/O 49 ST,1
6 AVE 10FT / WORTH/,1
6 AVE 50FT,1
6 AVE 52 ST,1
6 AVE 56 ST SIDE,1
6 AVE C/O,1
6 AVE NUC,1
6 AVE ST,1
6 AVE.,3
6 AVE3,2
6 AVENUE,142
6 AVER,1
6 BLD,1
6 BLVD,1
6 E,1
6 FT FROM N/E CORNER,2
6 R L I 6 2 SRJ,1
6 RD,2
6 ST,187
6 ST A,1
6 ST APP 30  WEST,1
6 STR,1
6 STREET,11
6 TH,2
6 TH AVE,12
6 TH AVENUE,1
6 TH ST,2
6 THACE,1
6 VENUE,1
6 W,2
6-5,2
60,4
60  226 ST,1
60  AVE,1
60  C/O W 197 ST,1
60  CT,1
60  E/O 162 STREET,2
60  E/O 6 AVE,1
60  FT OF 9 AVE,1
60  N/E C/O 26,0
60  S/B OF E 181 ST,1
60  ST,1
60 16AVE,3
60 AV,8
60 AVE,170
60 AVE QUEENS,1
60 AVENUE,24
60 AVENUE 50,1
60 CANE,1
60 COURT,1
60 CT,1
60 DR,24
60 DRIVE,9
60 E/O 7 AVE,2
60 FEET,3
60 FEET N/O CRANSTO,1
60 FT E/O 228 ST,1
60 FT N/O AVE V,1
60 FT SOUTH OF 1231,1
60 FT ST 43 AVE,1
60 FT W OF LEXINGTON,2
60 FT W/O 7 AVE,1
60 LA,13
60 LANE,19
60 LN,35
60 N,1
60 PL,65
60 PLACE,19
60 PLC,1
60 RD,108
60 ROAD,12
60 S FDR DR,1
60 SIDNM PL,1
60 SR,1
60 ST,821
60 ST SOUTHSIDE BTW,1
60 ST.,1
60 STREET,105
60 STREET B,1
60 TH AVE,4
60 TH ST,2
60 TH STREET,2
60 UNION TPKE,1
600  53RD ST,1
600  5TH SAND LN,1
600  C/O 57 ST,1
600  C/O MILLER AVE,1
600  N/W CRUGER AVE,1
600 FT C/O  57TH ST,1
600 FT SOUTH OF SURF,1
600ST ANNS AVE,1
601,1
601 NILSSI NST,1
6011 11 188 ST,1
6011 ST,1
602 N,1
60244 AV,1
606,1
606 WEST 28 STREET,1
607 CHWTRTALQDVENU,1
609TH STREET,0
60AV,3
60AVE,8
60DR,1
60FT EAST OF LIVONIA,1
60FT F/O 1372 77 ST,1
60FT FROM 120 STREET,1
60FT FROM 134 AVE,2
60FT S/O 211 ST,1
60FT S/W C/O 38 AVE,1
60FT W/O 7 AVE,1
60FT W/O LOUISANA,1
60LN,2
60PL,4
60RD,1
60RD ST,13
60ST,14
60TH,8
60TH  ST,1
60TH AVE,38
60TH CT,1
60TH DR,2
60TH DRIVE,1
60TH LANE,3
60TH LN,1
60TH PL,3
60TH PLACE,2
60TH RD,3
60TH ST,253
60TH STREET,49
60THS T,1
60TYH ST,1
60th Ave,1132
60th Ct,5
60th Dr,228
60th Ln,1480
60th Pl,628
60th Rd,231
60th St,3674
61,1
61 130 ST,1
61 AVE,54
61 AVE S,1
61 AVENUE,2
61 AVENUE RD,1
61 DR,7
61 DRIVE,15
61 EAST I8TH STNET,1
61 HOOVER AVE,1
61 PL,1
61 RD,25
61 RD ST,3
61 ROAD,4
61 ST,683
61 ST  STREET,1
61 ST PARKING LOT,1
61 ST ST,6
61 ST STREET,35
61 ST.,1
61 STR,1
61 STREET,98
61-15,1
610 AVE Z,1
6100 ST,1
61143 ITYNNRVR4T,1
612 W 118 ST,1
618 MBDMJN,1
61AVE,3
61RD ST,16
61ST,11
61ST  ST,1
61ST RD,1
61ST ST,80
61ST STREET,140
61ST STRET,1
61TH ST,2
61TH STREET,3
61st Ave,82
61st Dr,7
61st Rd,251
61st St,5859
62,4
62  AVE,1
62  DR,1
62 AVE,96
62 AVE E,1
62 AVE.,2
62 AVENUE,55
62 DBI,1
62 DR,239
62 DR 5FT,1
62 DR 6,1
62 DRIVE,154
62 DRVIE,1
62 ND ST,7
62 ND STREET,1
62 PL,3
62 RD,107
62 RD AND,1
62 ROAD,33
62 ST,477
62 ST MADISON,1
62 ST.,1
62 STREET,122
62 TH STREET,1
6219 ST,1
625 8TH AVE,0
6261 99 SAEET,1
62AVE,3
62DR,4
62ND,1
62ND AVE,4
62ND DR,4
62ND DRIVE,6
62ND RD,1
62ND ROAD,4
62ND ST,210
62ND STREET,88
62NDS ST,1
62RD,1
62RD ST,12
62ST,6
62T,1
62TH,2
62TH ST,1
62nd Ave,1362
62nd Dr,1789
62nd Rd,749
62nd St,3805
63,2
63  AVE,3
63 35 AVE,1
63 AV,1
63 AVE,121
63 AVENUE,29
"63 AVENUE , 120FT",2
63 AVENUE BOOTH STRE,1
63 DR,89
63 DRIVE,93
63 PL,3
63 RD,280
63 RD 8,1
63 RD AVE,1
63 RD DRIVE,1
63 RD ST,6
63 RD STREET,2
63 ROAD,100
63 ROADF,1
63 ST,345
63 ST/,1
63 STR,1
63 STREET,85
633 BERRIMAN ST,1
633 SHMJOMI3 PUM,1
634 ST,1
63AVE,12
63DR,2
63RD,56
63RD 10FT,1
63RD 20FT,1
63RD 30FT,1
63RD AT,1
63RD AVE,8
63RD DR,5
63RD DRIVE,7
63RD QUEENS BLVD,1
63RD RD,6
63RD ROAD,2
63RD ST,69
63RD ST.,1
63RD STREEET,1
63RD STREET,47
63RD STY,1
63ROAD,3
63ST,8
63TH AVENUE,1
63TH ST,1
63rd Ave,1594
63rd Dr,4605
63rd Pl,12
63rd Rd,4626
63rd St,4207
64,2
64 AR,1
64 AV,4
64 AVE,165
64 AVE.,2
64 AVENUE,19
64 BL,1
64 CIRC,3
64 CIRCL,2
64 CIRCLE,7
64 DR,2
64 LA,9
64 LANE,17
64 LN,13
64 PIC,2
64 PL,87
64 PL QUEENS,1
64 PLACE,42
64 PLC,3
64 RD,53
64 ROAD,24
64 ST,469
64 STR,1
64 STREET,124
64 TH,1
64 TH AVE,1
64 TH ST,2
64 TH STREET,3
64 VE,1
64 WEST,1
64-10,1
640 ST,1
641 AVE,1
641 ST,1
642 CROTONA PARK SOU,1
64AVE,1
64LA,1
64MD,1
64ND ST,1
64PL,2
64ST,3
64TG ST,1
64TH,2
64TH  ROAD,1
64TH  STREET,1
64TH AVE,3
64TH AVENUE,1
64TH LN,1
64TH PL,3
64TH PLACE,1
64TH ROAD,3
64TH ST,56
64TH STQ,1
64TH STREET,69
64TH STRET,1
64th Ave,3147
64th Cir,65
64th Ln,183
64th Pl,457
64th Rd,2719
64th St,4751
65,11
65  ROAD,1
65  STREET,1
65 AE,1
65 AV,1
65 AVE,134
65 AVE 7 FT C/O,1
65 AVE 8,1
65 AVENUE,22
65 BROADWAY,1
65 CIR,1
65 CRES,20
65 CRESCENT,1
65 CREST,6
65 DR,12
65 E/O CENTER BLV,1
65 JUMEL TERR,1
65 LA,2
65 LANE,2
65 LN,11
65 MAFERA PARK PLACE,1
65 P-LACE,2
65 PALCE,1
65 PD,1
65 PL,174
65 PLACE,53
65 PLC,4
65 R,1
65 RD,48
65 RD 5FT,1
65 RD 7FT,3
65 RD 8FT,2
65 RD S/O,1
65 ROAD,10
65 SRT,1
65 ST,658
65 ST ST,2
65 STREET,146
65 TH,1
65 TH PL,1
65 TH ST,5
65 TH STREET,1
65-85,1
651 86,1
651 ST,1
656,1
656 ST,1
65AV,1
65AVE,15
65FT N/O 68 AVE,1
65PL,6
65RD,1
65RD 8FT,2
65ST,9
65STREET,2
65TH,4
65TH  STREET,1
65TH AV,1
65TH AVE,7
65TH AVENUE,1
65TH PL,8
65TH PLACE,9
65TH SOUTH OF S/E C/,1
65TH ST,196
65TH STREET,90
65th Ave,2327
65th Cres,64
65th Dr,43
65th Ln,42
65th Pl,972
65th Rd,1027
65th St,5019
65th St Transverse,9
66,1
66  STREET,1
66 AVE,90
66 AVENUE,34
66 BT,1
66 DR,34
66 DRIVE,2
66 PL,55
66 PLACE,7
66 PLC,2
66 RD,69
66 RD 5 FT,1
66 ROAD,19
66 SANFORD AVE,2
66 ST,303
66 ST 20FT,1
66 STR,2
66 STREET,75
664 RD,1
665 PELHAM PARKWAY,11
666/668 GREENWICH ST,1
66AVE,9
66PL,1
66RD,4
66ROAD,1
66ST,10
66ST STREET,13
66TH,5
66TH AVE,1
66TH AVENUE,1
66TH BCH,1
66TH P,1
66TH PL,2
66TH PLACE,3
66TH RD,4
66TH ROAD,2
66TH ST,36
66TH ST BETWEEN,1
66TH ST.,1
66TH STREET,68
66TH STRET,1
66th Ave,1642
66th Dr,97
66th Pl,340
66th Rd,1118
66th St,3838
67,1
67  ST,1
67 A,1
67 AVE,188
67 AVE 5FT C/O,1
67 AVE 7FT,1
67 AVE S,1
67 AVENUE,49
67 CARGO SERV RD,0
67 CARGO SERVICE RD,1
67 DR,84
67 DRIVE,54
67 DRIVE 108 ST,1
67 DROVE,1
67 LN,1
67 PL,27
67 PLACE,8
67 PLC,1
67 RD,113
67 RD 30FT,1
67 ROAD,30
67 ST,317
67 ST ST,1
67 STRE,2
67 STREET,137
67 TH ST,1
67 TH STREET,1
67-102 AMSTEL,1
67-19 FRESH POND RD,1
67150 ST,1
674 304X AVE,1
67AVE,16
67DR,1
67DR 10FT W/O,1
67ND STREET,1
67PL,3
67PLC,2
67RD,4
67ST,23
67TH,3
67TH  AVE,1
67TH AV,1
67TH AVE,31
67TH AVENUE,3
67TH PL,1
67TH PLACE,2
67TH RD,2
67TH RD QUEENS,1
67TH ST,40
67TH STREET,109
67THST,1
67th Ave,2682
67th Dr,1066
67th Pl,448
67th Rd,1354
67th St,3380
68,3
68 AENUE,1
68 AV,5
68 AVE,226
68 AVE 8FT W/O,1
68 AVE FT,2
68 AVENUE,54
68 AVENUE 50FT,1
68 DR,56
68 DR 8,1
68 DRIVE,23
68 PD,1
68 PL,18
68 PLACE,2
68 PLC,1
68 RD,63
68 RD 8FT,2
68 ROAD,20
68 ST,288
68 STR,2
68 STREET,97
68 TH ST,2
68 TO 69 ST,1
681 KELLY ST,1
689,1
68AVE,14
68AVE  DOUGLASTON PK,1
68AVE 40,1
68PL,1
68RD,8
68STREET,1
68TH,2
68TH AVE,9
68TH AVENUE3,1
68TH DR,1
68TH PL,1
68TH RD,6
68TH ST,66
68TH ST 3RD AVE,1
68TH STREET,61
68th Ave,2364
68th Dr,1301
68th Pl,288
68th Rd,1484
68th St,3141
69  PL,2
69 AE,1
69 AVE,168
69 AVE 6FT,1
69 AVE C/O,1
69 AVENUE,19
69 DR,2
69 EAST,2
69 LA,8
69 LANE,12
69 LASE,2
69 LN,9
69 P,3
69 PL,163
69 PLACE,13
69 PLACW,1
69 PLC,4
69 PLP,1
69 RD,70
69 ROAD,12
69 ST,297
69 ST ON 58TH ROAD S,1
69 ST PIER,1
69 STREEET,1
69 STREET,65
691 ST,1
696 CONEY ISLAND AVE,1
69AVE,12
69E 149 ST,1
69PL,4
69RD,2
69RD STREET,1
69ST,3
69ST ST,1
69TH AVE,6
69TH AVENUE,1
69TH LANE,1
69TH PL,11
69TH RD,2
69TH ST,19
69TH STREET,3
69th Ave,2876
69th Dr,23
69th Ln,479
69th Pl,1453
69th Rd,1383
69th St,3200
6AV,1
6AVE,88
6AVE  C 49 ST,1
6AVENUE,1
6D MLMR,1
6R IN IWVSION,1
6RD,0
6RD AVE,1
6RD ST,1
6ST,1
6TH,35
6TH  AVE,4
6TH  ST,2
6TH A,1
6TH AE,3
6TH AV,51
6TH AVE,2897
6TH AVE (48 ST),1
6TH AVE 45 ST,2
6TH AVE 50FT,1
6TH AVE N/S,1
6TH AVE.,6
6TH AVENUE,236
6TH AVENUE 46 ST,1
6TH AVENUE/ 63 ST,1
6TH AVER,1
6TH AVEUNE,1
6TH AVF,1
6TH AVR,1
6TH PLACE,3
6TH ST,210
6TH ST.,2
6TH STR,1
6TH STREET,29
6THAVE,1
6THS T,1
6VE,1
6th,4
6th Ave,56446
6th Rd,3
6th St,1978
7,19
7  7 NIJ I 1 1CN S7R,1
7  AVE,3
7  ST,1
7 08 181 AML,2
7 1 CRES,1
7 A,2
7 A VE,1
7 AE,3
7 AEV,1
7 AV,48
7 AVE,4212
7 AVE  S,2
7 AVE ( ON 55 ST),2
7 AVE . ST CHRIS,1
7 AVE 3,1
7 AVE ENTRANCE,1
7 AVE LOFT,1
7 AVE ON 42 ST,1
7 AVE OPP 77,1
7 AVE S,170
7 AVE S.,7
7 AVE S. W 11,1
7 AVE S. W/O,2
7 AVE SO,1
7 AVE SOUTH,13
7 AVE ST,1
7 AVE.,2
7 AVE3,1
7 AVENUE,261
7 AVEQ,1
7 AVES,1
7 AVEUNE,1
7 AVR,1
7 I IMJAJXYKNI U3,1
7 MARCUS GARVEY BLVD,1
7 ST,258
7 ST AVE,3
7 STREET,15
7 TH,3
7 TH AVE,59
7 TH AVENUE,1
7 TH ST,1
7 VE,1
7 W,2
7 WALTON AVE,1
7 WINTHROP,1
7-5 ARRIVALS JFK,0
7/B VAN,1
70  N/E C/O 135 AVE,1
70  S/W PARK AV,2
70  ST,1
70 AV,7
70 AVE,139
70 AVE S/E C/O,1
70 AVENUE,17
70 AVENUE3,1
70 C/O BROOK AVE,1
70 DR,3
70 DRIVE,8
70 FT N C/O FULTON,1
70 FT S/N MORRIS AVE,0
70 GCP,1
70 RD,88
70 ROAD,14
70 RTD,2
70 SRT,1
70 ST,342
70 STR,2
70 STRE,2
70 STREET,119
70 TH AVE,1
70 TH ST,1
70 TH STREET,1
70-38 112 ST,1
700  5TH SAND LN,1
700 HORACE HAR EXP,1
70AVE,21
70FT N/W CORNER E 67,1
70FT S/O S/W C/O W 2,1
70RD,5
70ST,5
70TH,1
70TH AVE,18
70TH AVENUE,1
70TH AVENUE 58-21,1
70TH DR,1
70TH RD,8
70TH ROAD,3
70TH ST,36
70TH STREET,34
70th Ave,3802
70th Dr,28
70th Rd,5662
70th St,3272
71,2
71 AV,4
71 AVE,222
71 AVE 20FT,1
71 AVENUE,105
71 AVENUE3,1
71 C/O,1
71 CKS,1
71 CREEK,1
71 CRES,43
71 CRESCENT,7
71 CRESE,1
71 CRESENT,2
71 DR,2
71 DRIVE,1
71 IMNCU JT,2
71 PL,14
71 PLACE,4
71 RD,41
71 RD 7FT W/O,1
71 RD 8FT,1
71 ROAD,34
71 S,1
71 ST,325
71 ST AVE,2
71 ST RD,1
71 ST ST,10
71 ST STREET,4
71 STR,1
71 STREET,83
7112 INTNWMSNR,1
7147 IHHF AWI,1
716 ST,11
71AVE,5
71RD AVE,1
71ST,3
71ST  ST,2
71ST AVE,10
71ST AVENUE,2
71ST ROAD,1
71ST ST,10
71ST STREET,27
71STREET,2
71TH AVE,2
71TH AVR,1
71Y HH7EUMNW,1
71st Ave,10407
71st Cres,103
71st Dr,57
71st Pl,123
71st Rd,4910
71st St,3555
72,1
72  PL,1
72 2ROAD,1
72 AV,3
72 AVE,91
72 AVE 30FT,1
72 AVE 7FT,1
72 AVENUE,6
72 CT,1
72 DR,40
72 DRIVE,9
72 ND ST,1
72 PL,34
72 PLACE,2
72 RD,80
72 ROAD,14
72 ST,391
72 ST ST,2
72 STREET,118
72 STRET,2
72-64,1
720 AVENUE,1
720 TH AVENUE,2
723 ST,1
723221 IINSOS NH,1
724 ST,1
727 FLUSHING AVE,1
72A VE,1
72AVE,1
72ND,4
72ND  STREET,1
72ND AVE,10
72ND AVENUE,3
72ND CRESCENT,1
72ND DR,1
72ND DRIVE,2
72ND RD,5
72ND ROAD,2
72ND S,1
72ND ST,80
72ND STREET,101
72ND SWT,1
72PL,2
72RD,9
72RD ST,3
72RD STREET,2
72ST,3
72TH AVE,1
72TH ST,1
72nd Ave,3174
72nd Cres,59
72nd Ct,16
72nd Dr,837
72nd Ln,2
72nd Pl,227
72nd Rd,2733
72nd St,4559
72nd St Transverse,3
73,1
73 AT,1
73 AV,3
73 AVE,200
73 AVENUE,15
73 DR,1
73 PK,2
73 PL,55
73 PL;,1
73 PLACE,36
73 PLC,18
73 RD,11
73 RD AVE,1
73 RD ST,4
73 RD STREET,6
73 ST,336
73 ST 3,1
73 ST C/O,2
73 ST.,3
73 STREET,90
73 TERACCE,1
73 TERR,3
73 TERRACE,2
732BWHTAMYD,2
738,1
73AVE,1
73ND ST,2
73ND STREET,1
73PLC,1
73RD,2
73RD AVE,8
73RD S,1
73RD ST,105
73RD STREET,112
73ST,2
73TH,1
73TH AVE,1
73TH RD,1
73rd Ave,1985
73rd Pl,380
73rd Rd,1379
73rd St,5473
73rd Ter,101
74,3
74  AVE,1
74 AV,2
74 AVE,22
74 AVENUE,4
74 PL,15
74 PLACE,2
74 S,1
74 ST,422
74 ST 300FT E/O FRON,1
74 ST S/O 7402 17TH,1
74 STR,1
74 STREET,121
74 TH ST,2
7422 L5MIGML,1
7448INM31,1
744T17NRMI,1
745AVE,1
747 1 LI J 0 1,1
74AVE,1
74ST,10
74TH,2
74TH AVE,4
74TH ST,91
74TH STR,2
74TH STREET,45
74th Ave,548
74th Pl,44
74th St,9866
75,2
75  C/O ST NICHOLAS,1
75  E/O MADISON AVE,0
75  FROM C/O DRIGGS,2
75  FROM MCDONALD AV,2
75  N/E C/O 67 AVE,1
75  N/O 57 STREET,1
75  N/O C/O ALBANY,1
75  S/O C/O W 138 ST,2
75  WEST MADISON AVE,1
75 19 277,0
75 AV,4
75 AVE,131
75 AVENUE,14
75 FT C/OF GRANT AVE,1
75 FT E/O 94 ST,1
75 FT EAST OF 7 AVE,1
75 FT W OF S/W C/O,0
75 FT W/OF LEXINGTON,1
75 FT. E/O 94 ST,1
75 HEMPSTEAD AVE,1
75 MONTGOMERY STREET,1
75 PL,4
